SN,BOOK TITLE,AUTHOR,ISBN NUMBER,COVER PAGE,GENRE,PUBLICATION DATE,PUBLISHER
29,ROMEO AND JULIET,BY SHAKESPEARE,9781604138139,http://books.google.com/books/content?id=a86GYjcjvTIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Drama,2010,Infobase Publishing
30,The new prophecy warriors Dawn,by ERIN HUNTER,9780060744564,http://books.google.com/books/content?id=9MB9NgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Juvenile Fiction,2005-12-27,HarperColl
31,MASTER and COMMANDER BY PATRICK O BRIAN,BY PATRICK O BRIAN,9780007157860,http://books.google.com/books/content?id=CmmqYm2JkJoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fiction,2003,
32,ROOM,BY EMMA DONOGHUE,9781743036426,http://books.google.com/books/content?id=RYYZlU1F2m8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fiction,2010-07-23,Picador
33,A SEPARATE PEACE WITH CONNECTION,BY JOHN KNOWLES,9781438126524,http://books.google.com/books/content?id=BtqXXFJ76y8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Juvenile Nonfiction,2014-05-14,Infobase Publishing
34,Chronicles of the Idler,by Joshua NYANGAU ARAKA AKA THE IDLER,,,,,
35,FEMALE CIRCUMCISIONS AMONG ABAGUSII KENYA,BY DANIEL MOMANYI MOKAYA,9789047422686,http://books.google.com/books/content?id=WPuvCQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Religion,2007-11-30,BRILL
36,THE CRICKET IN TIMES SQUARE,BY GEORGE SELDEN,9781770722620,http://books.google.com/books/content?id=yPaWd01gf-oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Education,1972,On The Mark Press
37,PEPPERED PATH,BY JOSHUA NYANGAU ARAKA,,,,,
38,THE ADVISORIES,BY JACK CAVANAUGH,9781416596462,http://books.google.com/books/content?id=GHfLq03FyVUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction,2008-05-20,Simon and Schuster
39,PHULE ME TWICE,BY ROBERT L. ASPRIN WITH PETER J. HECK,9781614754596,http://books.google.com/books/content?id=Of13EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction,2022-06-30,WordFire +ORM
40,HARVEST OF LOVE,BY SAM ARYEETEY,9789042012837,http://books.google.com/books/content?id=bjTT4cLtM3MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,2000,Rodopi
